2	3
2	4
2	10
2	11
2	12
3	2
3	4
3	10
3	11
4	2
4	3
4	10
4	11
10	2
10	3
10	4
10	11
11	2
11	3
11	4
11	10
11	13
12	2
13	11
15	584
18	21
19	20
21	27
21	357
21	371
21	493
21	746
21	747
21	920
21	1010
23	26
24	25
25	23
25	411
25	601
25	912
29	103
29	198
29	314
29	393
29	395
29	400
29	498
29	603
29	807
29	846
29	867
29	961
29	982
29	1025
30	103
30	198
30	314
30	393
30	395
30	400
30	498
30	603
30	807
30	846
30	867
30	961
30	982
30	1025
31	261
37	16
38	483
38	1021
39	109
39	584
40	95
40	111
40	140
40	144
40	402
40	420
40	482
40	488
40	489
40	573
40	583
40	608
40	668
40	826
40	852
41	715
41	716
44	543
45	423
45	479
45	786
45	995
48	15
49	755
54	115
54	887
55	149
55	468
55	496
55	557
55	620
57	416
57	778
57	779
58	111
58	140
58	144
58	402
58	420
58	482
58	488
58	573
58	583
58	608
58	668
58	826
58	852
59	103
59	198
59	314
59	393
59	395
59	400
59	498
59	603
59	807
59	846
59	867
59	961
59	982
59	1025
60	443
61	62
61	63
61	128
61	129
61	382
61	527
61	528
61	529
61	530
61	531
61	532
61	533
61	534
61	941
62	61
62	81
62	82
62	334
62	725
62	726
62	727
63	61
63	81
63	82
63	334
63	725
63	726
63	727
69	70
69	71
70	69
70	71
71	69
71	70
72	149
72	468
72	496
72	557
72	620
73	77
73	101
73	203
73	424
73	440
73	567
73	596
73	633
73	659
73	687
73	733
73	940
74	77
74	101
74	203
74	424
74	440
74	567
74	596
74	633
74	659
74	687
74	733
74	940
77	73
77	74
77	80
77	101
77	199
77	336
77	398
77	399
77	422
77	427
77	486
77	506
77	542
77	546
77	565
77	566
77	582
77	596
77	634
77	648
77	659
77	809
77	829
77	834
77	844
77	899
77	940
77	950
77	952
77	954
77	956
77	971
77	981
77	989
77	990
77	1007
77	1012
78	103
78	114
78	198
78	314
78	393
78	395
78	400
78	498
78	603
78	807
78	846
78	867
78	961
78	982
78	1025
80	77
80	101
80	203
80	424
80	440
80	567
80	596
80	633
80	659
80	687
80	733
80	940
81	62
81	63
81	128
81	129
81	382
81	431
81	432
81	941
82	62
82	63
82	128
82	129
82	382
82	431
82	432
82	941
84	901
85	901
86	423
86	479
86	786
86	995
90	91
91	90
93	115
93	165
93	497
93	611
93	704
93	887
94	943
95	41
95	104
95	146
95	745
96	109
96	584
97	98
97	117
97	118
97	677
98	97
99	730
99	731
101	73
101	74
101	77
101	80
101	199
101	336
101	398
101	399
101	422
101	427
101	440
101	486
101	506
101	542
101	546
101	565
101	566
101	567
101	582
101	596
101	634
101	648
101	687
101	809
101	829
101	834
101	844
101	899
101	940
101	950
101	952
101	954
101	956
101	971
101	981
101	989
101	990
101	1007
101	1012
103	31
103	32
103	59
103	78
103	396
103	591
103	623
103	624
103	692
103	696
103	781
103	795
103	922
103	969
103	1030
104	95
104	434
104	435
104	439
104	683
104	745
104	996
109	40
109	96
109	151
109	553
109	602
109	644
109	800
109	911
111	41
111	58
111	261
111	489
111	833
114	78
114	259
114	416
114	778
114	779
115	54
115	93
115	572
