ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
"Carcinoma, Hepatocellular"	"Carcinoma, Hepatocellular"	242/481	338/1764	3.47E-83	2.22E-80	3.62E-81	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-511/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-375/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-1269a/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-203b/hsa-mir-760/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-105-1/hsa-mir-7-1/hsa-mir-452/hsa-mir-1307/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-3664/hsa-mir-503/hsa-mir-433/hsa-mir-3127/hsa-mir-326/hsa-mir-19a/hsa-mir-877/hsa-mir-215/hsa-mir-188/hsa-mir-135b/hsa-mir-345/hsa-mir-1468/hsa-mir-675/hsa-mir-18a/hsa-mir-432/hsa-mir-483/hsa-mir-494/hsa-mir-411/hsa-mir-615/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-149/hsa-mir-3117/hsa-mir-20b/hsa-mir-129-2/hsa-mir-202/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2/hsa-mir-761/hsa-mir-216a/hsa-mir-132/hsa-mir-181c/hsa-mir-193b/hsa-mir-449b/hsa-let-7d/hsa-mir-150/hsa-mir-126/hsa-mir-98/hsa-mir-206/hsa-mir-218-2/hsa-mir-18b/hsa-mir-136/hsa-mir-302c/hsa-mir-30c-2/hsa-mir-571/hsa-mir-22/hsa-mir-1290/hsa-mir-331/hsa-mir-378b/hsa-mir-30d/hsa-mir-339/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-708/hsa-mir-127/hsa-mir-374a/hsa-mir-30c-1/hsa-mir-122/hsa-mir-218-1/hsa-mir-10a/hsa-mir-449c/hsa-mir-15a/hsa-mir-103a-2/hsa-mir-186/hsa-mir-217/hsa-let-7i/hsa-let-7b/hsa-mir-138-1/hsa-mir-28/hsa-mir-520d/hsa-mir-26a-1/hsa-mir-410/hsa-mir-30e/hsa-mir-27b/hsa-mir-489/hsa-let-7a-2/hsa-let-7f-2/hsa-let-7g/hsa-mir-134/hsa-mir-340/hsa-mir-302b/hsa-mir-214/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-31/hsa-mir-630/hsa-mir-499b/hsa-mir-16-1/hsa-mir-24-1/hsa-mir-450b/hsa-mir-19b-1/hsa-mir-223/hsa-mir-610/hsa-mir-199b/hsa-mir-491/hsa-mir-520b/hsa-mir-604/hsa-mir-222/hsa-mir-125a/hsa-mir-484/hsa-mir-133b/hsa-mir-34c/hsa-mir-106b/hsa-mir-378e/hsa-mir-26a-2/hsa-mir-362/hsa-mir-509-3/hsa-mir-29b-2/hsa-mir-151a/hsa-mir-574/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-492/hsa-mir-34b/hsa-mir-655/hsa-mir-384/hsa-mir-422a/hsa-mir-92a-2/hsa-mir-211/hsa-mir-15b/hsa-mir-539/hsa-let-7f-1/hsa-mir-26b/hsa-mir-451b/hsa-mir-151b/hsa-mir-146b/hsa-mir-338/hsa-mir-216b/hsa-mir-29a/hsa-mir-520a/hsa-mir-325/hsa-mir-99b/hsa-mir-922/hsa-mir-212/hsa-mir-616/hsa-mir-185/hsa-mir-1297/hsa-mir-888/hsa-mir-423/hsa-mir-744/hsa-mir-92a-1/hsa-mir-490/hsa-mir-485/hsa-mir-943/hsa-mir-499a/hsa-mir-130a/hsa-mir-148a/hsa-mir-764/hsa-mir-506/hsa-mir-582/hsa-mir-542/hsa-mir-1249/hsa-mir-23a/hsa-mir-1246/hsa-mir-501/hsa-mir-24-2/hsa-mir-581/hsa-mir-3126/hsa-mir-361/hsa-mir-505	242
"Carcinoma, Breast"	"Carcinoma, Breast"	238/481	346/1764	2.17E-75	6.95E-73	1.13E-73	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-1258/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-203b/hsa-mir-760/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-105-1/hsa-mir-493/hsa-mir-7-1/hsa-mir-452/hsa-mir-1307/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-605/hsa-mir-675/hsa-mir-18a/hsa-mir-3200/hsa-mir-494/hsa-mir-411/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-4728/hsa-mir-149/hsa-mir-20b/hsa-mir-519a-1/hsa-mir-129-2/hsa-mir-202/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2/hsa-mir-4634/hsa-mir-346/hsa-mir-132/hsa-mir-181c/hsa-mir-193b/hsa-mir-449b/hsa-let-7d/hsa-mir-150/hsa-mir-4521/hsa-mir-496/hsa-mir-126/hsa-mir-98/hsa-mir-206/hsa-mir-328/hsa-mir-218-2/hsa-mir-18b/hsa-mir-651/hsa-mir-302c/hsa-mir-30c-2/hsa-mir-373/hsa-mir-22/hsa-mir-1290/hsa-mir-331/hsa-mir-378b/hsa-mir-30d/hsa-mir-339/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-302a/hsa-mir-708/hsa-mir-127/hsa-mir-374a/hsa-mir-30c-1/hsa-mir-122/hsa-mir-218-1/hsa-mir-10a/hsa-mir-15a/hsa-mir-103a-2/hsa-mir-217/hsa-let-7i/hsa-let-7b/hsa-mir-138-1/hsa-mir-26a-1/hsa-mir-410/hsa-mir-30e/hsa-mir-27b/hsa-mir-489/hsa-let-7a-2/hsa-let-7g/hsa-mir-134/hsa-mir-302d/hsa-mir-340/hsa-mir-302b/hsa-mir-214/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-31/hsa-mir-630/hsa-mir-499b/hsa-mir-16-1/hsa-mir-23b/hsa-mir-519d/hsa-mir-24-1/hsa-mir-450b/hsa-mir-19b-1/hsa-mir-223/hsa-mir-652/hsa-mir-199b/hsa-mir-491/hsa-mir-196b/hsa-mir-208a/hsa-mir-222/hsa-mir-125a/hsa-mir-484/hsa-mir-133b/hsa-mir-34c/hsa-mir-106b/hsa-mir-1225/hsa-mir-520c/hsa-mir-378e/hsa-mir-26a-2/hsa-mir-509-3/hsa-mir-29b-2/hsa-mir-3646/hsa-mir-574/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-492/hsa-mir-34b/hsa-mir-92a-2/hsa-mir-578/hsa-mir-374b/hsa-mir-15b/hsa-mir-668/hsa-mir-520h/hsa-mir-26b/hsa-mir-451b/hsa-mir-146b/hsa-mir-338/hsa-mir-216b/hsa-mir-762/hsa-mir-29a/hsa-mir-922/hsa-mir-765/hsa-mir-212/hsa-mir-185/hsa-mir-892a/hsa-mir-888/hsa-mir-423/hsa-mir-744/hsa-mir-92a-1/hsa-mir-485/hsa-mir-3196/hsa-mir-561/hsa-mir-892b/hsa-mir-7107/hsa-mir-499a/hsa-mir-130a/hsa-mir-148a/hsa-mir-6780b/hsa-mir-4258/hsa-mir-506/hsa-mir-568/hsa-mir-542/hsa-mir-23a/hsa-mir-802/hsa-mir-1246/hsa-mir-24-2/hsa-mir-361/hsa-mir-505/hsa-mir-564/hsa-mir-874/hsa-mir-650	238
"Carcinoma, Colon"	"Carcinoma, Colon"	215/481	315/1764	3.16E-65	6.75E-63	1.10E-63	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-187/hsa-mir-204/hsa-mir-342/hsa-mir-1269a/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-760/hsa-mir-590/hsa-mir-493/hsa-mir-7-1/hsa-mir-1307/hsa-mir-584/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-326/hsa-mir-19a/hsa-mir-877/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-376a-2/hsa-mir-149/hsa-mir-20b/hsa-mir-1292/hsa-mir-129-2/hsa-mir-202/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2/hsa-mir-382/hsa-mir-498/hsa-mir-216a/hsa-mir-132/hsa-let-7d/hsa-mir-150/hsa-mir-126/hsa-mir-98/hsa-mir-206/hsa-mir-328/hsa-mir-218-2/hsa-mir-18b/hsa-mir-30c-2/hsa-mir-373/hsa-mir-22/hsa-mir-1290/hsa-mir-331/hsa-mir-378b/hsa-mir-30d/hsa-mir-339/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-302a/hsa-mir-127/hsa-mir-30c-1/hsa-mir-122/hsa-mir-218-1/hsa-mir-15a/hsa-mir-103a-2/hsa-mir-186/hsa-mir-217/hsa-let-7i/hsa-let-7b/hsa-mir-138-1/hsa-mir-26a-1/hsa-mir-410/hsa-mir-371a/hsa-mir-30e/hsa-let-7a-2/hsa-let-7g/hsa-mir-134/hsa-mir-302d/hsa-mir-340/hsa-mir-214/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-31/hsa-mir-300/hsa-mir-630/hsa-mir-499b/hsa-mir-16-1/hsa-mir-23b/hsa-mir-24-1/hsa-mir-19b-1/hsa-mir-223/hsa-mir-652/hsa-mir-199b/hsa-mir-491/hsa-mir-196b/hsa-mir-222/hsa-mir-523/hsa-mir-125a/hsa-mir-484/hsa-mir-133b/hsa-mir-34c/hsa-mir-106b/hsa-mir-378e/hsa-mir-26a-2/hsa-mir-362/hsa-mir-509-3/hsa-mir-29b-2/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-492/hsa-mir-34b/hsa-mir-422a/hsa-mir-92a-2/hsa-mir-374b/hsa-mir-211/hsa-mir-15b/hsa-mir-539/hsa-mir-26b/hsa-mir-451b/hsa-mir-146b/hsa-mir-338/hsa-mir-216b/hsa-mir-532/hsa-mir-29a/hsa-mir-520a/hsa-mir-99b/hsa-mir-628/hsa-mir-185/hsa-mir-1297/hsa-mir-892a/hsa-mir-888/hsa-mir-423/hsa-mir-3182/hsa-mir-552/hsa-mir-92a-1/hsa-mir-490/hsa-mir-544a/hsa-mir-1914/hsa-mir-499a/hsa-mir-1295b/hsa-mir-130a/hsa-mir-148a/hsa-mir-1915/hsa-mir-506/hsa-mir-582/hsa-mir-23a/hsa-mir-320e/hsa-mir-1246/hsa-mir-24-2/hsa-mir-4301/hsa-mir-361/hsa-mir-874/hsa-mir-650	215
"Carcinoma, Gastric"	"Carcinoma, Gastric"	196/481	275/1764	2.28E-63	3.66E-61	5.95E-62	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-190b/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-551b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-676/hsa-mir-203b/hsa-mir-760/hsa-mir-381/hsa-mir-377/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-433/hsa-mir-326/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-149/hsa-mir-519a-1/hsa-mir-1284/hsa-mir-129-2/hsa-mir-202/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-132/hsa-mir-181c/hsa-mir-193b/hsa-mir-126/hsa-mir-206/hsa-mir-328/hsa-mir-218-2/hsa-mir-136/hsa-mir-543/hsa-mir-22/hsa-mir-331/hsa-mir-1303/hsa-mir-378b/hsa-mir-339/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-127/hsa-mir-374a/hsa-mir-624/hsa-mir-647/hsa-mir-122/hsa-mir-218-1/hsa-mir-10a/hsa-mir-449c/hsa-mir-103a-2/hsa-mir-186/hsa-mir-519b/hsa-mir-217/hsa-let-7i/hsa-let-7b/hsa-mir-28/hsa-mir-520d/hsa-mir-26a-1/hsa-mir-410/hsa-mir-30e/hsa-mir-27b/hsa-let-7a-2/hsa-let-7g/hsa-mir-134/hsa-mir-340/hsa-mir-214/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-31/hsa-mir-519e/hsa-mir-630/hsa-mir-499b/hsa-mir-16-1/hsa-mir-23b/hsa-mir-519d/hsa-mir-24-1/hsa-mir-19b-1/hsa-mir-223/hsa-mir-652/hsa-mir-520b/hsa-mir-196b/hsa-mir-222/hsa-mir-504/hsa-mir-125a/hsa-mir-133b/hsa-mir-34c/hsa-mir-106b/hsa-mir-378e/hsa-mir-26a-2/hsa-mir-362/hsa-mir-509-3/hsa-mir-29b-2/hsa-mir-574/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-34b/hsa-mir-422a/hsa-mir-92a-2/hsa-mir-520e/hsa-mir-374b/hsa-mir-15b/hsa-mir-26b/hsa-mir-451b/hsa-mir-146b/hsa-mir-338/hsa-mir-532/hsa-mir-29a/hsa-mir-628/hsa-mir-212/hsa-mir-185/hsa-mir-1297/hsa-mir-423/hsa-mir-92a-1/hsa-mir-490/hsa-mir-544a/hsa-mir-1914/hsa-mir-938/hsa-mir-499a/hsa-mir-130a/hsa-mir-148a/hsa-mir-506/hsa-mir-542/hsa-mir-23a/hsa-mir-320e/hsa-mir-24-2/hsa-mir-361/hsa-mir-505/hsa-mir-874/hsa-mir-500a	196
"Carcinoma, Lung. Non-Small-Cell"	"Carcinoma, Lung. Non-Small-Cell"	162/481	217/1764	1.97E-55	2.52E-53	4.10E-54	hsa-mir-139/hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-148b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-585/hsa-mir-203b/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-7-1/hsa-mir-452/hsa-mir-143/hsa-mir-379/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-326/hsa-mir-135b/hsa-mir-675/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-205/hsa-mir-3619/hsa-mir-376a-2/hsa-mir-149/hsa-mir-20b/hsa-mir-129-2/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2/hsa-mir-761/hsa-mir-382/hsa-mir-132/hsa-mir-193b/hsa-let-7d/hsa-mir-150/hsa-mir-126/hsa-mir-98/hsa-mir-218-2/hsa-mir-136/hsa-mir-30c-2/hsa-mir-543/hsa-mir-373/hsa-mir-22/hsa-mir-1290/hsa-mir-378b/hsa-mir-30d/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-708/hsa-mir-127/hsa-mir-30c-1/hsa-mir-122/hsa-mir-218-1/hsa-mir-10a/hsa-mir-15a/hsa-mir-186/hsa-let-7b/hsa-mir-138-1/hsa-mir-26a-1/hsa-mir-27b/hsa-mir-489/hsa-let-7g/hsa-mir-134/hsa-mir-214/hsa-mir-1304/hsa-mir-3666/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-31/hsa-mir-499b/hsa-mir-16-1/hsa-mir-23b/hsa-mir-519d/hsa-mir-24-1/hsa-mir-19b-1/hsa-mir-662/hsa-mir-223/hsa-mir-196b/hsa-mir-222/hsa-mir-125a/hsa-mir-34c/hsa-mir-378e/hsa-mir-26a-2/hsa-mir-509-3/hsa-mir-29b-2/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-422a/hsa-mir-92a-2/hsa-mir-520e/hsa-mir-26b/hsa-mir-216b/hsa-mir-29a/hsa-mir-520a/hsa-mir-325/hsa-mir-212/hsa-mir-185/hsa-mir-92a-1/hsa-mir-499a/hsa-mir-130a/hsa-mir-148a/hsa-mir-542/hsa-mir-23a/hsa-mir-320e/hsa-mir-1246/hsa-mir-24-2/hsa-mir-361/hsa-mir-874/hsa-mir-500a	162
Neoplasms [unspecific]	Neoplasms [unspecific]	157/481	208/1764	1.23E-54	1.31E-52	2.13E-53	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-1301/hsa-mir-196a-2/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-511/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-375/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-590/hsa-mir-493/hsa-mir-7-1/hsa-mir-452/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-376c/hsa-mir-326/hsa-mir-215/hsa-mir-188/hsa-mir-18a/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-4728/hsa-mir-149/hsa-mir-548e/hsa-mir-129-2/hsa-mir-885/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2/hsa-mir-382/hsa-mir-181c/hsa-let-7d/hsa-mir-150/hsa-mir-126/hsa-mir-98/hsa-mir-206/hsa-mir-218-2/hsa-mir-1298/hsa-mir-302c/hsa-mir-373/hsa-mir-22/hsa-mir-30d/hsa-mir-128-1/hsa-mir-16-2/hsa-mir-302a/hsa-mir-708/hsa-mir-624/hsa-mir-122/hsa-mir-218-1/hsa-mir-10a/hsa-mir-15a/hsa-let-7i/hsa-let-7b/hsa-mir-138-1/hsa-mir-28/hsa-mir-520d/hsa-mir-26a-1/hsa-mir-371a/hsa-mir-30e/hsa-mir-27b/hsa-let-7a-2/hsa-let-7g/hsa-mir-302d/hsa-mir-302b/hsa-mir-214/hsa-mir-27a/hsa-mir-221/hsa-mir-29b-1/hsa-mir-31/hsa-mir-519e/hsa-mir-300/hsa-mir-630/hsa-mir-499b/hsa-mir-16-1/hsa-mir-23b/hsa-mir-24-1/hsa-mir-223/hsa-mir-199b/hsa-mir-1291/hsa-mir-222/hsa-mir-323a/hsa-mir-125a/hsa-mir-133b/hsa-mir-34c/hsa-mir-106b/hsa-mir-520c/hsa-mir-26a-2/hsa-mir-509-3/hsa-mir-520f/hsa-mir-29b-2/hsa-mir-29c/hsa-mir-34b/hsa-mir-92a-2/hsa-mir-211/hsa-mir-15b/hsa-mir-26b/hsa-mir-451b/hsa-mir-146b/hsa-mir-532/hsa-mir-29a/hsa-mir-423/hsa-mir-92a-1/hsa-mir-499a/hsa-mir-130a/hsa-mir-148a/hsa-mir-506/hsa-mir-542/hsa-mir-23a/hsa-mir-501/hsa-mir-24-2/hsa-mir-3177	157
