ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Lymphoma, Large-Cell, Anaplastic	Lymphoma, Large-Cell, Anaplastic	4/172	12/1764	0.0231254230889212	0.0453698776792169	0.0215605448347837	hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-135b	4
morphine	morphine	4/172	12/1764	0.0231254230889212	0.0453698776792169	0.0215605448347837	hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-139/hsa-mir-181b-2	4
Renal Fibrosis	Renal Fibrosis	4/172	12/1764	0.0231254230889212	0.0453698776792169	0.0215605448347837	hsa-mir-21/hsa-mir-196b/hsa-mir-196a-1/hsa-mir-196a-2	4
titanium and Anatase coating(AC)	titanium and Anatase coating(AC)	4/172	12/1764	0.0231254230889212	0.0453698776792169	0.0215605448347837	hsa-mir-93/hsa-mir-34c/hsa-mir-17/hsa-mir-130b	4
Ciliary_Epithelial_Cells	Ciliary_Epithelial_Cells	6/172	24/1764	0.0238689207406906	0.0465331010023558	0.0221133285294793	hsa-mir-891a/hsa-mir-1266/hsa-mir-216b/hsa-mir-17/hsa-mir-130a/hsa-mir-551b	6
Diabetic Nephropathy	Diabetic Nephropathy	6/172	24/1764	0.0238689207406906	0.0465331010023558	0.0221133285294793	hsa-mir-21/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-135a-1/hsa-mir-130b/hsa-mir-214	6
Carcinoma, Hepatocellular, HBV-Related	Carcinoma, Hepatocellular, HBV-Related	5/172	18/1764	0.0248855205079436	0.0479104413517419	0.0227678643112519	hsa-mir-183/hsa-mir-96/hsa-mir-196a-1/hsa-mir-196a-2/hsa-let-7c	5
cocaine	cocaine	5/172	18/1764	0.0248855205079436	0.0479104413517419	0.0227678643112519	hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-101-1/hsa-mir-101-2	5
CoCl2	CoCl2	5/172	18/1764	0.0248855205079436	0.0479104413517419	0.0227678643112519	hsa-mir-424/hsa-mir-21/hsa-mir-222/hsa-mir-526b/hsa-mir-20b	5
hepatitis B virus X protein (HBx)	hepatitis B virus X protein (HBx)	5/172	18/1764	0.0248855205079436	0.0479104413517419	0.0227678643112519	hsa-mir-21/hsa-mir-222/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-211	5
Hepatitis B Virus Infection	Hepatitis B Virus Infection	12/172	67/1764	0.0250886685305415	0.0481515439499212	0.0228824404054301	hsa-mir-21/hsa-mir-221/hsa-mir-34c/hsa-mir-18a/hsa-mir-425/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-196a-2/hsa-mir-34b/hsa-let-7c/hsa-mir-205/hsa-mir-323b	12
Epigallocatechin gallate (EGCG)	Epigallocatechin gallate (EGCG)	9/172	45/1764	0.0260274111397355	0.049798576112559	0.0236651383672355	hsa-mir-21/hsa-mir-93/hsa-mir-221/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-34b/hsa-mir-485/hsa-mir-323b	9
