ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Squamous Cell Carcinoma, Esophageal	Squamous Cell Carcinoma, Esophageal	41/172	142/1764	8.99990283526903e-12	5.05630904745115e-10	2.40284487180867e-10	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-30d/hsa-mir-139/hsa-mir-18a/hsa-mir-19a/hsa-mir-520a/hsa-mir-450a-2/hsa-mir-450a-1/hsa-mir-20a/hsa-mir-526b/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-508/hsa-mir-17/hsa-mir-33b/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-939/hsa-mir-219b/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-577/hsa-mir-92b/hsa-mir-214/hsa-mir-483/hsa-mir-889/hsa-mir-7-3	41
Carcinoma, Renal Cell	Carcinoma, Renal Cell	37/172	119/1764	9.87771944793716e-12	5.08702551568764e-10	2.41744186488988e-10	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-452/hsa-mir-221/hsa-mir-502/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-454/hsa-mir-184/hsa-mir-216b/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-17/hsa-mir-362/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-372/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-214/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3	37
Glioma	Glioma	51/172	207/1764	1.20187390118892e-11	5.71352362257504e-10	2.71516452171425e-10	hsa-mir-10b/hsa-mir-21/hsa-mir-767/hsa-mir-93/hsa-mir-183/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-454/hsa-mir-184/hsa-mir-139/hsa-mir-18a/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-425/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-508/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-219b/hsa-mir-372/hsa-mir-326/hsa-mir-338/hsa-mir-130b/hsa-mir-205/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-204/hsa-mir-1224/hsa-mir-200c/hsa-mir-323b/hsa-mir-7-3/hsa-mir-135b	51
Melanoma	Melanoma	39/172	132/1764	1.47180856680148e-11	6.49698353059509e-10	3.08747812133543e-10	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-767/hsa-mir-224/hsa-mir-183/hsa-mir-182/hsa-mir-452/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-30d/hsa-mir-216a/hsa-mir-301a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-508/hsa-mir-17/hsa-mir-33b/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-338/hsa-let-7c/hsa-mir-205/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-493/hsa-mir-204/hsa-mir-200c/hsa-mir-211	39
Carcinoma, Lung. Non-Small-Cell	Carcinoma, Lung. Non-Small-Cell	52/172	217/1764	2.27622534935197e-11	9.37804843933011e-10	4.4566096313628e-10	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-500a/hsa-mir-182/hsa-mir-452/hsa-mir-221/hsa-mir-9-1/hsa-mir-196b/hsa-mir-502/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-454/hsa-mir-184/hsa-mir-30d/hsa-mir-216b/hsa-mir-139/hsa-mir-18a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-520a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-939/hsa-mir-372/hsa-mir-326/hsa-mir-541/hsa-let-7c/hsa-mir-205/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-20b/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-214/hsa-mir-204/hsa-mir-483/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b	52
Apoptosis	Apoptosis	34/172	106/1764	3.03020399613836e-11	1.17041629350844e-09	5.56201917712239e-10	hsa-mir-424/hsa-mir-21/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-216b/hsa-mir-216a/hsa-mir-18a/hsa-mir-552/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-421/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-195/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-372/hsa-mir-326/hsa-let-7c/hsa-mir-204/hsa-mir-551b/hsa-mir-323b/hsa-mir-7-3	34
Inflammation	Inflammation	35/172	112/1764	3.42624992018563e-11	1.24554261804395e-09	5.91903236985628e-10	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-184/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-188/hsa-mir-130b/hsa-mir-205/hsa-mir-199b/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-147b/hsa-mir-1224/hsa-mir-7-3/hsa-mir-135b	35
Breast Neoplasms	Breast Neoplasms	41/172	148/1764	4.021370632202e-11	1.38067058372269e-09	6.56118366306641e-10	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-30d/hsa-mir-190b/hsa-mir-18a/hsa-mir-19a/hsa-mir-520a/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-219b/hsa-mir-338/hsa-mir-205/hsa-mir-199b/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-493/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b	41
Carcinoma, Lung	Carcinoma, Lung	50/172	213/1764	1.47071222062448e-10	4.78368501234698e-09	2.27328924960792e-09	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-660/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-30d/hsa-mir-1258/hsa-mir-139/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-450a-2/hsa-mir-450a-1/hsa-mir-3662/hsa-mir-526b/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-33b/hsa-mir-1226/hsa-mir-937/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-509-3/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-944/hsa-mir-214/hsa-mir-493/hsa-mir-200c/hsa-mir-7-3	50
Carcinoma, Pancreatic	Carcinoma, Pancreatic	42/172	161/1764	1.89211264264064e-10	5.73059670070945e-09	2.72327794157373e-09	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-217/hsa-mir-196b/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-216b/hsa-mir-139/hsa-mir-216a/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-301b/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-643/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-410/hsa-mir-636/hsa-mir-214/hsa-mir-204/hsa-mir-483/hsa-mir-200c/hsa-mir-323b/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	42
Carcinoma, Breast, Triple Negative	Carcinoma, Breast, Triple Negative	24/172	60/1764	1.94729014101777e-10	5.73059670070945e-09	2.72327794157373e-09	hsa-mir-21/hsa-mir-93/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-18a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-195/hsa-mir-205/hsa-mir-493/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b/hsa-mir-211	24
lipopolysaccharide (LPS)	lipopolysaccharide (LPS)	45/172	181/1764	2.09767330462158e-10	5.89255501025516e-09	2.80024331095417e-09	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-589/hsa-mir-96/hsa-mir-182/hsa-mir-532/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-891a/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-30d/hsa-mir-216a/hsa-mir-19a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-338/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-147b/hsa-mir-214/hsa-mir-204/hsa-mir-539/hsa-mir-323b/hsa-mir-7-3/hsa-mir-211	45
oxidized low density lipoprotein (ox-LDL)	oxidized low density lipoprotein (ox-LDL)	36/172	125/1764	2.42168272845734e-10	6.50695620081146e-09	3.09221730544438e-09	hsa-mir-424/hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-454/hsa-mir-877/hsa-mir-139/hsa-mir-190b/hsa-mir-216a/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-508/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-326/hsa-mir-338/hsa-let-7c/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-204/hsa-mir-135b	36
Carcinoma, Rectal	Carcinoma, Rectal	21/172	48/1764	3.98613872409553e-10	1.0264307214546e-08	4.87777501764322e-09	hsa-mir-21/hsa-mir-183/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-139/hsa-mir-18a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-199b/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-135b	21
Carcinoma, Cervical	Carcinoma, Cervical	37/172	137/1764	1.01591535671864e-09	2.51134276180848e-08	1.1934331979979e-08	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-502/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-139/hsa-mir-18a/hsa-mir-135a-1/hsa-mir-425/hsa-mir-20a/hsa-mir-421/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-362/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-205/hsa-mir-20b/hsa-mir-944/hsa-mir-214/hsa-mir-432/hsa-mir-135b/hsa-mir-211	37
irradiation	irradiation	27/172	81/1764	1.68355776477011e-09	4.00168730241512e-08	1.90167051162292e-08	hsa-mir-21/hsa-mir-93/hsa-mir-96/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-660/hsa-mir-502/hsa-mir-222/hsa-mir-454/hsa-mir-18a/hsa-mir-19a/hsa-mir-301a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-362/hsa-mir-195/hsa-mir-1226/hsa-mir-653/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-323b	27
Curcumin (Cur)	Curcumin (Cur)	32/172	110/1764	2.20663176317242e-09	5.05073492459466e-08	2.40019595292439e-08	hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-30d/hsa-mir-216a/hsa-mir-19a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-372/hsa-mir-326/hsa-let-7c/hsa-mir-1276/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c/hsa-mir-7-3	32
Gastrointestinal Neoplasms	Gastrointestinal Neoplasms	27/172	82/1764	2.3033252424437e-09	5.08376785653645e-08	2.41589376933005e-08	hsa-mir-21/hsa-mir-93/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-139/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-421/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-130b/hsa-mir-20b/hsa-mir-214/hsa-mir-200c/hsa-mir-7-3	27
Cell Cycle	Cell Cycle	27/172	83/1764	3.13260771103035e-09	6.67569505316122e-08	3.17240490518137e-08	hsa-mir-424/hsa-mir-21/hsa-mir-96/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-33b/hsa-mir-195/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-372/hsa-mir-205/hsa-mir-92b/hsa-mir-200c	27
Alzheimer's Disease	Alzheimer's Disease	30/172	100/1764	3.36952095527176e-09	6.94121316785982e-08	3.29858367200288e-08	hsa-mir-21/hsa-mir-93/hsa-mir-532/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-139/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-511/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-195/hsa-mir-188/hsa-mir-937/hsa-mir-219b/hsa-mir-409/hsa-mir-483/hsa-mir-200c/hsa-mir-323b/hsa-mir-7-3	30
Adenocarcinoma, Lung	Adenocarcinoma, Lung	30/172	101/1764	4.40124902522072e-09	8.77410289544002e-08	4.16960433968279e-08	hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-182/hsa-mir-452/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-30d/hsa-mir-18a/hsa-mir-552/hsa-mir-511/hsa-mir-519a-1/hsa-mir-101-1/hsa-mir-17/hsa-mir-33b/hsa-mir-195/hsa-mir-34b/hsa-mir-326/hsa-mir-205/hsa-mir-214/hsa-mir-409/hsa-mir-551b/hsa-mir-483/hsa-mir-485/hsa-mir-200c/hsa-mir-7-3	30
Leukemia, Myeloid, Acute	Leukemia, Myeloid, Acute	33/172	119/1764	4.6783422473e-09	9.03504846509813e-08	4.29361015459441e-08	hsa-mir-21/hsa-mir-224/hsa-mir-96/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-18a/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-519a-1/hsa-mir-301b/hsa-mir-17/hsa-mir-181b-2/hsa-mir-188/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-326/hsa-let-7c/hsa-mir-199b/hsa-mir-409/hsa-mir-204/hsa-mir-551b/hsa-mir-200c/hsa-mir-4739/hsa-mir-323b/hsa-mir-7-3	33
Osteosarcoma	Osteosarcoma	41/172	171/1764	5.59210334891749e-09	1.04724844534273e-07	4.97670441578303e-08	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-182/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-454/hsa-mir-19a/hsa-mir-301a/hsa-mir-20a/hsa-mir-421/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-195/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-326/hsa-mir-130b/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-409/hsa-mir-204/hsa-mir-200c/hsa-mir-539/hsa-mir-7-3/hsa-mir-135b	41
Choriocarcinoma	Choriocarcinoma	22/172	60/1764	8.49133935442056e-09	1.5434258003035e-07	7.33462439592364e-08	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-30d/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-205/hsa-mir-199b/hsa-mir-204/hsa-mir-200c	22
Regulation of Akt Pathway	Regulation of Akt Pathway	14/172	26/1764	1.44103328673232e-08	2.54445306057307e-07	1.20916778044607e-07	hsa-mir-221/hsa-mir-222/hsa-mir-184/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-205/hsa-mir-214/hsa-mir-7-3	14
1, 3, 4-tri-O-galloyl-6-O-caffeoyl-β-D-glucopyranose (BJA32515)	1, 3, 4-tri-O-galloyl-6-O-caffeoyl-β-D-glucopyranose (BJA32515)	28/172	95/1764	1.89924412299437e-08	3.26036907780701e-07	1.54938336349541e-07	hsa-mir-10b/hsa-mir-21/hsa-mir-96/hsa-mir-182/hsa-mir-217/hsa-mir-34c/hsa-mir-222/hsa-mir-30d/hsa-mir-139/hsa-mir-18a/hsa-mir-450a-2/hsa-mir-450a-1/hsa-mir-526b/hsa-mir-508/hsa-mir-17/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-372/hsa-mir-326/hsa-mir-205/hsa-mir-92b/hsa-mir-214/hsa-mir-493/hsa-mir-409/hsa-mir-483/hsa-mir-432/hsa-mir-485	28
TGF-beta1	TGF-beta1	35/172	141/1764	3.6561765179517e-08	6.106802940795e-07	2.90205760599865e-07	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-589/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-454/hsa-mir-184/hsa-mir-30d/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-425/hsa-mir-20a/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-19b-2/hsa-mir-199b/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-204/hsa-mir-483/hsa-mir-485/hsa-mir-200c/hsa-mir-4739/hsa-mir-7-3/hsa-mir-135b	35
Glioblastoma	Glioblastoma	39/172	168/1764	3.91570346875792e-08	6.36817037813788e-07	3.02626389967717e-07	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-182/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-222/hsa-mir-139/hsa-mir-18a/hsa-mir-19a/hsa-mir-425/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-219b/hsa-mir-326/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-577/hsa-mir-92b/hsa-mir-431/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-147b/hsa-mir-200c/hsa-mir-7-3/hsa-mir-135b	39
Brain Development	Brain Development	16/172	36/1764	4.38356659261813e-08	6.94626706214873e-07	3.30098536933997e-07	hsa-mir-10b/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-222/hsa-mir-135a-2/hsa-mir-184/hsa-mir-135a-1/hsa-mir-20a/hsa-mir-17/hsa-mir-326/hsa-mir-323b/hsa-mir-135b	16
5-fluorouracil (5-FU)	5-fluorouracil (5-FU)	31/172	118/1764	6.15576299864152e-08	9.51065383290115e-07	4.51962599110785e-07	hsa-mir-10b/hsa-mir-21/hsa-mir-224/hsa-mir-182/hsa-mir-532/hsa-mir-501/hsa-mir-221/hsa-mir-196b/hsa-mir-34a/hsa-mir-877/hsa-mir-19a/hsa-mir-450a-2/hsa-mir-450a-1/hsa-mir-425/hsa-mir-421/hsa-mir-181b-2/hsa-mir-195/hsa-mir-760/hsa-mir-19b-2/hsa-mir-130b/hsa-let-7c/hsa-mir-1229/hsa-mir-205/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-204/hsa-mir-483/hsa-mir-1224/hsa-mir-135b	31
Heart Failure	Heart Failure	31/172	120/1764	9.45832008475706e-08	1.4256687347268e-06	6.77502260243189e-07	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-500a/hsa-mir-182/hsa-mir-221/hsa-mir-500b/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-30d/hsa-mir-139/hsa-mir-135a-1/hsa-mir-425/hsa-mir-17/hsa-mir-130a/hsa-mir-195/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-204/hsa-mir-539/hsa-mir-211	31
N-succinimidyl N-methylcarbamate	N-succinimidyl N-methylcarbamate	10/172	15/1764	1.18261421032309e-07	1.74013233804684e-06	8.26940763609381e-07	hsa-mir-21/hsa-mir-221/hsa-mir-217/hsa-mir-196b/hsa-mir-34a/hsa-mir-222/hsa-mir-216a/hsa-mir-301a/hsa-mir-196a-1/hsa-mir-196a-2	10
Medulloblastoma	Medulloblastoma	14/172	30/1764	1.52516292559477e-07	2.1919783442269e-06	1.04166574355187e-06	hsa-mir-10b/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-135a-2/hsa-mir-18a/hsa-mir-19a/hsa-mir-135a-1/hsa-mir-17/hsa-mir-19b-2/hsa-mir-199b/hsa-mir-431/hsa-mir-135b	14
Prostate Neoplasms	Prostate Neoplasms	23/172	75/1764	1.84150002384157e-07	2.58647048803202e-06	1.22913518337751e-06	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-182/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-181b-2/hsa-mir-130b/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-409/hsa-mir-200c/hsa-mir-135b	23
adriamycin (ADR)	adriamycin (ADR)	15/172	35/1764	2.16462982800022e-07	2.97275829712031e-06	1.41270578248436e-06	hsa-mir-424/hsa-mir-452/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-421/hsa-mir-130a/hsa-mir-34b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-200c	15
Ovarian Neoplasms	Ovarian Neoplasms	28/172	106/1764	2.62993247205026e-07	3.50141005269911e-06	1.66393017322952e-06	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-30d/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-130a/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-219b/hsa-mir-338/hsa-let-7c/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c/hsa-mir-135b	28
