ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Papilloma Virus Infection	Human Papilloma Virus Infection	23/482	33/1764	3.75E-07	1.09E-06	1.81E-07	hsa-mir-21/hsa-mir-96/hsa-mir-34a/hsa-mir-3144/hsa-mir-20a/hsa-mir-17/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-205/hsa-mir-30c-2/hsa-let-7a-2/hsa-mir-27a/hsa-mir-150/hsa-mir-145/hsa-mir-23b/hsa-mir-24-1/hsa-mir-125b-1/hsa-mir-143/hsa-mir-203a/hsa-mir-15a/hsa-mir-155/hsa-mir-106b/hsa-mir-24-2	23
Psoriasis	Psoriasis	23/482	33/1764	3.75E-07	1.09E-06	1.81E-07	hsa-mir-424/hsa-mir-21/hsa-mir-217/hsa-mir-1266/hsa-mir-19a/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-223/hsa-mir-210/hsa-mir-193b/hsa-mir-138-1/hsa-let-7a-2/hsa-mir-150/hsa-mir-31/hsa-mir-125b-1/hsa-mir-99a/hsa-mir-138-2/hsa-mir-143/hsa-mir-203a/hsa-mir-146b/hsa-mir-155/hsa-mir-369	23
Chondrosarcoma	Chondrosarcoma	17/482	21/1764	4.03E-07	1.17E-06	1.94E-07	hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-206/hsa-mir-129-1/hsa-mir-494/hsa-mir-138-1/hsa-mir-30a/hsa-mir-27b/hsa-mir-200b/hsa-mir-519d/hsa-mir-145/hsa-mir-141/hsa-mir-23b/hsa-mir-100/hsa-mir-138-2/hsa-mir-126/hsa-mir-129-2	17
"Leukemia, B-Cell"	"Leukemia, B-Cell"	13/482	14/1764	4.42E-07	1.27E-06	2.11E-07	hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-19b-2/hsa-mir-142/hsa-mir-16-1/hsa-mir-19b-1/hsa-mir-125b-1/hsa-mir-92a-2/hsa-mir-15a/hsa-mir-92a-1/hsa-mir-155	13
silver nanoparticles (AgNPs)	silver nanoparticles (AgNPs)	13/482	14/1764	4.42E-07	1.27E-06	2.11E-07	hsa-mir-424/hsa-mir-34a/hsa-mir-30d/hsa-mir-20a/hsa-mir-181b-2/hsa-mir-338/hsa-mir-205/hsa-mir-181c/hsa-mir-340/hsa-let-7i/hsa-mir-29b-1/hsa-mir-29b-2/hsa-mir-192	13
Liver Diseases [unspecific]	Liver Diseases [unspecific]	21/482	29/1764	4.47E-07	1.27E-06	2.11E-07	hsa-mir-21/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-34a/hsa-mir-139/hsa-mir-19b-2/hsa-let-7c/hsa-mir-200c/hsa-let-7d/hsa-mir-122/hsa-mir-340/hsa-let-7g/hsa-mir-125a/hsa-let-7b/hsa-let-7a-2/hsa-mir-27a/hsa-mir-200b/hsa-mir-19b-1/hsa-mir-200a/hsa-mir-146b/hsa-mir-185	21
"Adenocarcinoma, Colon"	"Adenocarcinoma, Colon"	18/482	23/1764	4.51E-07	1.27E-06	2.11E-07	hsa-mir-21/hsa-mir-224/hsa-mir-96/hsa-mir-182/hsa-mir-30d/hsa-mir-18a/hsa-mir-552/hsa-mir-135b/hsa-mir-503/hsa-mir-30e/hsa-mir-16-2/hsa-mir-30a/hsa-mir-30b/hsa-mir-16-1/hsa-mir-145/hsa-mir-24-1/hsa-mir-429/hsa-mir-24-2	18
Ischemia-Reperfusion Injury	Ischemia-Reperfusion Injury	18/482	23/1764	4.51E-07	1.27E-06	2.11E-07	hsa-mir-21/hsa-mir-20a/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-7-3/hsa-mir-223/hsa-mir-494/hsa-mir-122/hsa-mir-7-1/hsa-mir-134/hsa-mir-24-1/hsa-mir-187/hsa-mir-92a-2/hsa-mir-192/hsa-mir-92a-1/hsa-mir-155/hsa-mir-24-2	18
"Squamous Cell Carcinoma, Lung"	"Squamous Cell Carcinoma, Lung"	18/482	23/1764	4.51E-07	1.27E-06	2.11E-07	hsa-mir-21/hsa-mir-183/hsa-mir-182/hsa-mir-19a/hsa-mir-425/hsa-mir-20a/hsa-mir-19b-2/hsa-mir-205/hsa-mir-206/hsa-mir-218-2/hsa-mir-98/hsa-mir-218-1/hsa-mir-29b-1/hsa-mir-30b/hsa-mir-19b-1/hsa-mir-126/hsa-mir-29b-2/hsa-mir-29c	18
Aortic Stenosis	Aortic Stenosis	19/482	25/1764	4.71E-07	1.33E-06	2.19E-07	hsa-mir-424/hsa-mir-195/hsa-mir-204/hsa-mir-211/hsa-mir-22/hsa-mir-30c-2/hsa-mir-210/hsa-mir-30c-1/hsa-mir-382/hsa-mir-26a-1/hsa-mir-30a/hsa-mir-31/hsa-mir-30b/hsa-mir-24-1/hsa-mir-133b/hsa-mir-26a-2/hsa-mir-378b/hsa-mir-148a/hsa-mir-24-2	19
